NC_011498.1	NC_000915.1	NC_012973.1	NC_011333.1	NC_014256.1	Consensus	Std	Count
HPP12_RS01500	HP0290	HELPY_RS01465	HPG27_RS01455	HPB8_RS06020	68.0	4.06	5.0
HPP12_RS01505	HP0291	HELPY_RS01470	HPG27_RS01460	HPB8_RS06015	68.0	3.9	5.0
HPP12_RS01510	HP0292	HELPY_RS01475	HPG27_RS01465	HPB8_RS06010	69.0	4.22	5.0
HPP12_RS01515	HP0293	HELPY_RS01480	HPG27_RS01470	HPB8_RS06005	69.0	4.22	5.0
HPP12_RS01520	HP0294	HELPY_RS01485	HPG27_RS01475	HPB8_RS06000	69.0	4.06	5.0
HPP12_RS01525	HP0295	HELPY_RS01490	HPG27_RS01480	HPB8_RS05995	69.0	4.34	5.0
HPP12_RS01530	HP0296	HELPY_RS01495	HPG27_RS01485	HPB8_RS05990	70.0	4.06	5.0
HPP12_RS01535	HP0297	HELPY_RS01500	HPG27_RS01490	HPB8_RS05985	70.0	4.06	5.0
HPP12_RS01540	HP0298	HELPY_RS01505	HPG27_RS01495	HPB8_RS05980	70.0	4.06	5.0
HPP12_RS01545	HP0299	HELPY_RS01510	HPG27_RS01500	HPB8_RS05975	70.0	4.34	5.0
HPP12_RS01550	HP0300	HELPY_RS01515	HPG27_RS01505	HPB8_RS05970	71.0	4.22	5.0
HPP12_RS01555	HP0301	HELPY_RS01520	HPG27_RS01510	HPB8_RS05965	71.0	4.06	5.0
HPP12_RS01560	HP0302	HELPY_RS01525	HPG27_RS01515	HPB8_RS05960	71.0	4.06	5.0
HPP12_RS01565	HP0303	HELPY_RS01530	HPG27_RS01520	HPB8_RS05955	71.0	4.06	5.0
HPP12_RS01570	HP0304	HELPY_RS01535	HPG27_RS01525	HPB8_RS05950	71.0	4.34	5.0
HPP12_RS01575	HP0305	HELPY_RS01540	HPG27_RS01530	HPB8_RS05945	72.0	4.21	5.0
HPP12_RS01580	HP0306	HELPY_RS01545	HPG27_RS01535	HPB8_RS05940	72.0	4.06	5.0
HPP12_RS01585	HP0307	HELPY_RS01550	HPG27_RS01540	HPB8_RS05935	72.0	4.06	5.0
HPP12_RS01590	HP0308	HELPY_RS01555	HPG27_RS01545	HPB8_RS05930	72.0	4.06	5.0
HPP12_RS01595	HP0309	HELPY_RS01560	HPG27_RS01550	HPB8_RS05925	72.0	4.06	5.0
HPP12_RS01600	HP0310	HELPY_RS01565	HPG27_RS01555	HPB8_RS05920	73.0	4.22	5.0
HPP12_RS01605	HP0311	HELPY_RS01570	HPG27_RS01570	HPB8_RS05915	73.0	4.06	5.0
HPP12_RS01610	HP0312	HELPY_RS01575	HPG27_RS01575	HPB8_RS05910	73.0	4.06	5.0
HPP12_RS01615	HP0313	HELPY_RS01580	HPG27_RS01580	HPB8_RS05905	73.0	4.06	5.0
HPP12_RS01625	HP0318	HELPY_RS01585	HPG27_RS01600	HPB8_RS05900	74.0	3.65	5.0
HPP12_RS01630	HP0319	HELPY_RS01590	HPG27_RS01605	HPB8_RS05895	74.0	4.09	5.0
HPP12_RS01640	HP0321	HELPY_RS01600	HPG27_RS01615	HPB8_RS05885	75.0	3.65	5.0
HPP12_RS01645	HP0322	HELPY_RS01605	HPG27_RS01620	HPB8_RS05880	75.0	3.65	5.0
HPP12_RS01650	HP0323	HELPY_RS01610	HPG27_RS01625	HPB8_RS05875	75.0	3.65	5.0
HPP12_RS01655	HP0324	HELPY_RS01615	HPG27_RS01630	HPB8_RS05870	75.0	4.06	5.0
HPP12_RS01660	HP0325	HELPY_RS01620	HPG27_RS01635	HPB8_RS05865	75.0	3.85	5.0
HPP12_RS01670	HP0326	HELPY_RS01630	HPG27_RS01645	HPB8_RS05855	76.0	3.65	5.0
HPP12_RS01675	HP0327	HELPY_RS01635	HPG27_RS01650	HPB8_RS05850	76.0	3.65	5.0
HPP12_RS01680	HP0328	HELPY_RS01640	HPG27_RS01655	HPB8_RS05845	76.0	3.65	5.0
HPP12_RS01685	HP0329	HELPY_RS01645	HPG27_RS01660	HPB8_RS05840	76.0	3.63	5.0
HPP12_RS01695	HP0330	HELPY_RS01655	HPG27_RS01670	HPB8_RS05830	76.0	3.85	5.0
HPP12_RS01700	HP0331	HELPY_RS01660	HPG27_RS01675	HPB8_RS05825	77.0	3.65	5.0
HPP12_RS01705	HP0332	HELPY_RS01665	HPG27_RS01680	HPB8_RS05820	77.0	3.65	5.0
HPP12_RS01710	HP0333	HELPY_RS01670	HPG27_RS01685	HPB8_RS05815	77.0	3.65	5.0
HPP12_RS01715	HP0334	HELPY_RS01675	HPG27_RS01690	HPB8_RS05810	77.0	3.65	5.0
HPP12_RS01725	HP0337	HELPY_RS01685	HPG27_RS01700	HPB8_RS05800	77.0	3.54	5.0
HPP12_RS01730	HP0338	HELPY_RS01690	HPG27_RS01705	HPB8_RS05795	78.0	3.65	5.0
HPP12_RS01770	HP0347	HELPY_RS01730	HPG27_RS01740	HPB8_RS05790	78.0	3.63	5.0
HPP12_RS01775	HP0348	HELPY_RS01735	HPG27_RS01745	HPB8_RS05785	78.0	3.21	5.0
HPP12_RS01780	HP0349	HELPY_RS01740	HPG27_RS01750	HPB8_RS05780	79.0	3.65	5.0
HPP12_RS01785	HP0350	HELPY_RS01745	HPG27_RS01755	HPB8_RS05775	79.0	3.63	5.0
HPP12_RS01790	HP0351	HELPY_RS01750	HPG27_RS01760	HPB8_RS05770	79.0	3.54	5.0
HPP12_RS01795	HP0352	HELPY_RS01755	HPG27_RS01765	HPB8_RS05765	79.0	3.21	5.0
HPP12_RS01800	HP0353	HELPY_RS01760	HPG27_RS01770	HPB8_RS05760	80.0	3.21	5.0
HPP12_RS01805	HP0354	HELPY_RS01765	HPG27_RS01775	HPB8_RS05755	80.0	3.63	5.0
HPP12_RS01810	HP0355	HELPY_RS01770	HPG27_RS01780	HPB8_RS05750	80.0	3.21	5.0
HPP12_RS01830	HP1092	HELPY_RS01790	HPG27_RS01800	HPB8_RS05730	82.0	74.98	5.0
HPP12_RS01835	HP1091	HELPY_RS01795	HPG27_RS01805	HPB8_RS05725	82.0	74.86	5.0
HPP12_RS01840	HP1090	HELPY_RS01800	HPG27_RS01810	HPB8_RS05720	82.0	74.32	5.0
HPP12_RS01845	HP1089	HELPY_RS01805	HPG27_RS01815	HPB8_RS05715	82.0	74.09	5.0
HPP12_RS01850	HP1088	HELPY_RS01810	HPG27_RS01820	HPB8_RS05710	83.0	73.31	5.0
HPP12_RS01855	HP1087	HELPY_RS01815	HPG27_RS01825	HPB8_RS05705	84.0	73.2	5.0
HPP12_RS01860	HP1086	HELPY_RS01820	HPG27_RS01830	HPB8_RS05700	84.0	73.07	5.0
HPP12_RS01865	HP1085	HELPY_RS01825	HPG27_RS01835	HPB8_RS05695	84.0	73.07	5.0
HPP12_RS01870	HP1084	HELPY_RS01830	HPG27_RS01840	HPB8_RS05690	84.0	73.07	5.0
HPP12_RS01875	HP1083	HELPY_RS01835	HPG27_RS01845	HPB8_RS05685	84.0	72.3	5.0
HPP12_RS01880	HP1082	HELPY_RS01840	HPG27_RS01850	HPB8_RS05680	84.0	72.3	5.0
HPP12_RS01885	HP1081	HELPY_RS01845	HPG27_RS01855	HPB8_RS05675	85.0	72.18	5.0
HPP12_RS01890	HP1080	HELPY_RS01850	HPG27_RS01860	HPB8_RS05670	85.0	72.07	5.0
HPP12_RS01905	HP1077	HELPY_RS01855	HPG27_RS01865	HPB8_RS05655	86.0	71.41	5.0
HPP12_RS01910	HP1076	HELPY_RS01860	HPG27_RS01870	HPB8_RS05650	86.0	71.29	5.0
HPP12_RS01915	HP1075	HELPY_RS01865	HPG27_RS01875	HPB8_RS05645	86.0	71.29	5.0
HPP12_RS01920	HP1073	HELPY_RS01875	HPG27_RS01880	HPB8_RS05635	86.0	70.63	5.0
HPP12_RS01925	HP1072	HELPY_RS01880	HPG27_RS01885	HPB8_RS05630	86.0	70.63	5.0
HPP12_RS01930	HP1071	HELPY_RS01885	HPG27_RS01890	HPB8_RS05625	87.0	70.39	5.0
HPP12_RS01935	HP1070	HELPY_RS01890	HPG27_RS01895	HPB8_RS05620	87.0	70.39	5.0
HPP12_RS01940	HP1069	HELPY_RS01895	HPG27_RS01900	HPB8_RS05615	87.0	69.85	5.0
HPP12_RS01945	HP1068	HELPY_RS01900	HPG27_RS01905	HPB8_RS05610	88.0	69.62	5.0
HPP12_RS01950	HP1067	HELPY_RS01905	HPG27_RS01910	HPB8_RS05605	88.0	69.5	5.0
HPP12_RS01955	HP1066	HELPY_RS01910	HPG27_RS01915	HPB8_RS05600	88.0	69.5	5.0
HPP12_RS01965	HP1065	HELPY_RS01920	HPG27_RS01925	HPB8_RS05590	88.0	69.5	5.0
HPP12_RS01970	HP1064	HELPY_RS01925	HPG27_RS01930	HPB8_RS05585	88.0	69.5	5.0
HPP12_RS01975	HP1063	HELPY_RS01930	HPG27_RS01935	HPB8_RS05580	88.0	69.5	5.0
HPP12_RS01980	HP1062	HELPY_RS01935	HPG27_RS01940	HPB8_RS05575	88.0	68.85	5.0
HPP12_RS01985	HP1061	HELPY_RS01940	HPG27_RS01945	HPB8_RS05570	88.0	68.73	5.0
HPP12_RS01990	HP1060	HELPY_RS01945	HPG27_RS01950	HPB8_RS05565	88.0	68.73	5.0
HPP12_RS01995	HP1059	HELPY_RS01950	HPG27_RS01955	HPB8_RS05560	89.0	68.61	5.0
HPP12_RS02000	HP1058	HELPY_RS01955	HPG27_RS01960	HPB8_RS05555	89.0	68.61	5.0
HPP12_RS02010	HP1056	HELPY_RS01965	HPG27_RS01970	HPB8_RS05545	89.0	67.95	5.0
HPP12_RS02015	HP1055	HELPY_RS01970	HPG27_RS01975	HPB8_RS05540	90.0	67.84	5.0
HPP12_RS02020	HP1054	HELPY_RS01975	HPG27_RS01980	HPB8_RS05535	90.0	67.71	5.0
HPP12_RS02025	HP1053	HELPY_RS01980	HPG27_RS01985	HPB8_RS05530	90.0	67.71	5.0
HPP12_RS02030	HP1052	HELPY_RS01985	HPG27_RS01990	HPB8_RS05525	90.0	67.6	5.0
HPP12_RS02035	HP1051	HELPY_RS01990	HPG27_RS01995	HPB8_RS05520	90.0	67.06	5.0
HPP12_RS02040	HP1050	HELPY_RS01995	HPG27_RS02000	HPB8_RS05515	90.0	66.94	5.0
HPP12_RS02045	HP1049	HELPY_RS02000	HPG27_RS02005	HPB8_RS05510	90.0	66.94	5.0
HPP12_RS02050	HP1048	HELPY_RS02005	HPG27_RS02010	HPB8_RS05505	91.0	66.82	5.0
HPP12_RS02055	HP1047	HELPY_RS02010	HPG27_RS02015	HPB8_RS05500	91.0	66.61	5.0
HPP12_RS02060	HP1046	HELPY_RS02015	HPG27_RS02020	HPB8_RS05495	91.0	66.17	5.0
HPP12_RS02065	HP1045	HELPY_RS02020	HPG27_RS02025	HPB8_RS05490	92.0	66.05	5.0
HPP12_RS02070	HP1044	HELPY_RS02025	HPG27_RS02030	HPB8_RS05485	92.0	65.81	5.0
HPP12_RS02075	HP1043	HELPY_RS02030	HPG27_RS02035	HPB8_RS05480	92.0	65.27	5.0
HPP12_RS02080	HP1042	HELPY_RS02040	HPG27_RS02040	HPB8_RS05475	92.0	65.16	5.0
HPP12_RS02085	HP1041	HELPY_RS02045	HPG27_RS02045	HPB8_RS05470	93.0	65.03	5.0
HPP12_RS02090	HP1040	HELPY_RS02050	HPG27_RS02050	HPB8_RS05465	93.0	64.92	5.0
HPP12_RS02095	HP1039	HELPY_RS02055	HPG27_RS02055	HPB8_RS05460	93.0	64.38	5.0
HPP12_RS02100	HP1038	HELPY_RS02060	HPG27_RS02060	HPB8_RS05455	94.0	64.26	5.0
HPP12_RS02105	HP1037	HELPY_RS02065	HPG27_RS02065	HPB8_RS05450	94.0	64.14	5.0
HPP12_RS02110	HP1036	HELPY_RS02070	HPG27_RS02070	HPB8_RS05445	94.0	64.03	5.0
HPP12_RS02115	HP1035	HELPY_RS02075	HPG27_RS02075	HPB8_RS05440	94.0	63.58	5.0
HPP12_RS02120	HP1034	HELPY_RS02080	HPG27_RS02080	HPB8_RS05435	94.0	63.37	5.0
HPP12_RS02130	HP1032	HELPY_RS02090	HPG27_RS02090	HPB8_RS05425	94.0	63.37	5.0
HPP12_RS02135	HP1031	HELPY_RS02095	HPG27_RS02095	HPB8_RS05420	95.0	63.13	5.0
HPP12_RS02140	HP1030	HELPY_RS02100	HPG27_RS02100	HPB8_RS05415	95.0	63.13	5.0
HPP12_RS02145	HP1029	HELPY_RS02105	HPG27_RS02105	HPB8_RS05410	95.0	63.13	5.0
HPP12_RS02150	HP1028	HELPY_RS02110	HPG27_RS02110	HPB8_RS05405	96.0	62.48	5.0
HPP12_RS02155	HP1027	HELPY_RS02115	HPG27_RS02115	HPB8_RS05400	96.0	62.48	5.0
HPP12_RS02160	HP1026	HELPY_RS02120	HPG27_RS02120	HPB8_RS05395	96.0	62.48	5.0
HPP12_RS02170	HP1024	HELPY_RS02130	HPG27_RS02130	HPB8_RS05385	96.0	62.24	5.0
HPP12_RS02185	HP1021	HELPY_RS02145	HPG27_RS02145	HPB8_RS05370	97.0	61.35	5.0
HPP12_RS02190	HP1020	HELPY_RS02150	HPG27_RS02150	HPB8_RS05365	97.0	61.35	5.0
HPP12_RS02200	HP1017	HELPY_RS02160	HPG27_RS02160	HPB8_RS05355	98.0	60.69	5.0
HPP12_RS02210	HP1015	HELPY_RS02170	HPG27_RS02170	HPB8_RS05345	98.0	60.45	5.0
HPP12_RS02215	HP1014	HELPY_RS02175	HPG27_RS02175	HPB8_RS05340	98.0	60.45	5.0
HPP12_RS02220	HP1013	HELPY_RS02180	HPG27_RS02180	HPB8_RS05335	98.0	59.92	5.0
HPP12_RS02225	HP1012	HELPY_RS02185	HPG27_RS02185	HPB8_RS05330	98.0	59.8	5.0
HPP12_RS02230	HP1011	HELPY_RS02190	HPG27_RS02190	HPB8_RS05325	99.0	59.56	5.0
HPP12_RS02235	HP1010	HELPY_RS02195	HPG27_RS02195	HPB8_RS05320	99.0	59.11	5.0
HPP12_RS02245	HP0462	HELPY_RS02205	HPG27_RS02205	HPB8_RS05310	101.0	3.85	5.0
HPP12_RS02250	HP0463	HELPY_RS02210	HPG27_RS02210	HPB8_RS05305	101.0	3.56	5.0
HPP12_RS02330	HP0894	HELPY_RS04245	HPG27_RS05070	HPB8_RS03130	203.0	49.81	5.0
HPP12_RS02435	HP0465	HELPY_RS02220	HPG27_RS02220	HPB8_RS05295	103.0	3.21	5.0
HPP12_RS02440	HP0466	HELPY_RS02225	HPG27_RS02225	HPB8_RS05290	104.0	3.44	5.0
HPP12_RS02445	HP0467	HELPY_RS02230	HPG27_RS02230	HPB8_RS05285	104.0	3.11	5.0
HPP12_RS02450	HP0468	HELPY_RS02235	HPG27_RS02235	HPB8_RS05280	104.0	3.21	5.0
HPP12_RS02455	HP0469	HELPY_RS02240	HPG27_RS02240	HPB8_RS05275	104.0	3.21	5.0
HPP12_RS02460	HP0470	HELPY_RS02245	HPG27_RS02245	HPB8_RS05270	104.0	3.21	5.0
HPP12_RS02465	HP0471	HELPY_RS02250	HPG27_RS02250	HPB8_RS05265	105.0	3.32	5.0
HPP12_RS02470	HP0472	HELPY_RS02255	HPG27_RS02255	HPB8_RS05260	105.0	3.21	5.0
HPP12_RS02480	HP0473	HELPY_RS02260	HPG27_RS02260	HPB8_RS05250	105.0	3.21	5.0
HPP12_RS02485	HP0474	HELPY_RS02265	HPG27_RS02265	HPB8_RS05245	106.0	3.44	5.0
HPP12_RS02490	HP0475	HELPY_RS02270	HPG27_RS02270	HPB8_RS05240	106.0	3.44	5.0
HPP12_RS02495	HP0476	HELPY_RS02275	HPG27_RS02275	HPB8_RS05235	106.0	3.11	5.0
HPP12_RS02510	HP0479	HELPY_RS02290	HPG27_RS02290	HPB8_RS05220	107.0	3.27	5.0
HPP12_RS02515	HP0480	HELPY_RS02295	HPG27_RS02295	HPB8_RS05215	107.0	3.11	5.0
HPP12_RS02525	HP0485	HELPY_RS02310	HPG27_RS02325	HPB8_RS05185	108.0	3.03	5.0
HPP12_RS02530	HP0486	HELPY_RS02315	HPG27_RS02330	HPB8_RS05180	108.0	3.21	5.0
HPP12_RS02535	HP0487	HELPY_RS02320	HPG27_RS02335	HPB8_RS05175	109.0	3.44	5.0
HPP12_RS02560	HP0490	HELPY_RS04170	HPG27_RS02360	HPB8_RS03210	110.0	48.34	5.0
HPP12_RS02565	HP0491	HELPY_RS04165	HPG27_RS02365	HPB8_RS03215	110.0	48.17	5.0
HPP12_RS02570	HP0492	HELPY_RS04160	HPG27_RS02370	HPB8_RS03220	110.0	48.17	5.0
HPP12_RS02575	HP0493	HELPY_RS04155	HPG27_RS02375	HPB8_RS03225	110.0	47.92	5.0
HPP12_RS02580	HP0494	HELPY_RS04150	HPG27_RS02380	HPB8_RS03230	110.0	47.63	5.0
HPP12_RS02585	HP0495	HELPY_RS04145	HPG27_RS02385	HPB8_RS03235	111.0	47.25	5.0
HPP12_RS02590	HP0496	HELPY_RS04140	HPG27_RS02390	HPB8_RS03240	111.0	47.25	5.0
HPP12_RS02595	HP0497	HELPY_RS04135	HPG27_RS02395	HPB8_RS03245	111.0	47.08	5.0
HPP12_RS02600	HP0498	HELPY_RS04130	HPG27_RS02400	HPB8_RS03250	111.0	46.83	5.0
HPP12_RS02610	HP0500	HELPY_RS04120	HPG27_RS02410	HPB8_RS03260	112.0	46.16	5.0
HPP12_RS02615	HP0501	HELPY_RS04115	HPG27_RS02415	HPB8_RS03265	112.0	45.74	5.0
HPP12_RS02630	HP0506	HELPY_RS04095	HPG27_RS02430	HPB8_RS03285	113.0	44.9	5.0
HPP12_RS02635	HP0507	HELPY_RS04090	HPG27_RS02435	HPB8_RS03290	113.0	44.65	5.0
HPP12_RS02640	HP0508	HELPY_RS04085	HPG27_RS02440	HPB8_RS03295	113.0	44.65	5.0
HPP12_RS02645	HP0509	HELPY_RS04080	HPG27_RS02445	HPB8_RS03300	114.0	43.98	5.0
HPP12_RS02650	HP0510	HELPY_RS04075	HPG27_RS02450	HPB8_RS03305	114.0	43.81	5.0
HPP12_RS02660	HP0511	HELPY_RS04070	HPG27_RS02455	HPB8_RS03530	114.0	40.99	5.0
HPP12_RS02665	HP0512	HELPY_RS04065	HPG27_RS02460	HPB8_RS03465	114.0	41.54	5.0
HPP12_RS02675	HP0514	HELPY_RS04030	HPG27_RS02470	HPB8_RS03475	115.0	40.44	5.0
HPP12_RS02680	HP0515	HELPY_RS04025	HPG27_RS02475	HPB8_RS03480	115.0	40.44	5.0
HPP12_RS02685	HP0516	HELPY_RS04020	HPG27_RS02480	HPB8_RS03485	115.0	40.44	5.0
HPP12_RS02690	HP0517	HELPY_RS04015	HPG27_RS02485	HPB8_RS03490	115.0	39.9	5.0
HPP12_RS02695	HP0518	HELPY_RS04010	HPG27_RS02490	HPB8_RS03495	116.0	39.73	5.0
HPP12_RS02700	HP0519	HELPY_RS04005	HPG27_RS02495	HPB8_RS03455	116.0	39.92	5.0
HPP12_RS02860	HP0549	HELPY_RS04000	HPG27_RS02665	HPB8_RS03545	124.0	34.43	5.0
HPP12_RS02865	HP0550	HELPY_RS03995	HPG27_RS02670	HPB8_RS03550	125.0	33.95	5.0
HPP12_RS02870	HP0551	HELPY_RS03990	HPG27_RS02675	HPB8_RS03555	125.0	33.5	5.0
HPP12_RS02880	HP0553	HELPY_RS03980	HPG27_RS02685	HPB8_RS03565	125.0	33.34	5.0
HPP12_RS02885	HP0554	HELPY_RS03975	HPG27_RS02690	HPB8_RS03570	125.0	33.34	5.0
HPP12_RS02890	HP0555	HELPY_RS03970	HPG27_RS02695	HPB8_RS03575	125.0	33.34	5.0
HPP12_RS02900	HP0557	HELPY_RS03960	HPG27_RS02705	HPB8_RS03585	126.0	32.41	5.0
HPP12_RS02905	HP0558	HELPY_RS03955	HPG27_RS02710	HPB8_RS03590	126.0	32.24	5.0
HPP12_RS02910	HP0559	HELPY_RS03950	HPG27_RS02715	HPB8_RS03595	126.0	32.24	5.0
HPP12_RS02915	HP0561	HELPY_RS03945	HPG27_RS02720	HPB8_RS03600	127.0	31.76	5.0
HPP12_RS02920	HP0562	HELPY_RS03940	HPG27_RS02725	HPB8_RS03605	127.0	31.76	5.0
HPP12_RS02925	HP0563	HELPY_RS03935	HPG27_RS02730	HPB8_RS03610	127.0	31.59	5.0
HPP12_RS02930	HP0564	HELPY_RS03930	HPG27_RS02735	HPB8_RS03615	127.0	31.32	5.0
HPP12_RS02935	HP0565	HELPY_RS03925	HPG27_RS02740	HPB8_RS03620	127.0	31.15	5.0
HPP12_RS02940	HP0566	HELPY_RS03920	HPG27_RS02745	HPB8_RS03625	127.0	31.15	5.0
HPP12_RS02945	HP0567	HELPY_RS03915	HPG27_RS02750	HPB8_RS03630	127.0	30.88	5.0
HPP12_RS02950	HP0568	HELPY_RS03910	HPG27_RS02755	HPB8_RS03635	128.0	30.5	5.0
HPP12_RS02955	HP0569	HELPY_RS03905	HPG27_RS02760	HPB8_RS03640	128.0	30.22	5.0
HPP12_RS02960	HP0570	HELPY_RS03900	HPG27_RS02765	HPB8_RS03645	128.0	30.06	5.0
HPP12_RS02965	HP0571	HELPY_RS03895	HPG27_RS02770	HPB8_RS03650	129.0	29.58	5.0
HPP12_RS02970	HP0572	HELPY_RS03890	HPG27_RS02775	HPB8_RS03655	129.0	29.58	5.0
HPP12_RS02975	HP0573	HELPY_RS03885	HPG27_RS02780	HPB8_RS03660	129.0	29.41	5.0
HPP12_RS02980	HP0574	HELPY_RS03880	HPG27_RS02785	HPB8_RS03665	129.0	29.13	5.0
HPP12_RS02985	HP0575	HELPY_RS03875	HPG27_RS02790	HPB8_RS03670	129.0	29.13	5.0
HPP12_RS02990	HP0576	HELPY_RS03870	HPG27_RS02795	HPB8_RS03675	129.0	28.97	5.0
HPP12_RS02995	HP0577	HELPY_RS03865	HPG27_RS02800	HPB8_RS03680	129.0	28.97	5.0
HPP12_RS03000	HP0578	HELPY_RS03860	HPG27_RS02805	HPB8_RS03685	130.0	28.48	5.0
HPP12_RS03005	HP0579	HELPY_RS03855	HPG27_RS02810	HPB8_RS03690	130.0	28.04	5.0
HPP12_RS03010	HP0580	HELPY_RS03850	HPG27_RS02815	HPB8_RS03695	130.0	28.04	5.0
HPP12_RS03015	HP0581	HELPY_RS03845	HPG27_RS02820	HPB8_RS03700	130.0	27.61	5.0
HPP12_RS03025	HP0583	HELPY_RS03835	HPG27_RS02830	HPB8_RS03710	131.0	27.22	5.0
HPP12_RS03030	HP0584	HELPY_RS03830	HPG27_RS02835	HPB8_RS03715	131.0	26.95	5.0
HPP12_RS03035	HP0585	HELPY_RS03825	HPG27_RS02840	HPB8_RS03720	131.0	26.95	5.0
HPP12_RS03040	HP0585a	HELPY_RS03820	HPG27_RS02845	HPB8_RS03725	131.0	26.79	5.0
HPP12_RS03045	HP0586	HELPY_RS03815	HPG27_RS02850	HPB8_RS03730	131.0	26.52	5.0
HPP12_RS03050	HP0587	HELPY_RS03810	HPG27_RS02855	HPB8_RS03735	132.0	25.86	5.0
HPP12_RS03055	HP0588	HELPY_RS03805	HPG27_RS02860	HPB8_RS03740	132.0	25.86	5.0
HPP12_RS03060	HP0589	HELPY_RS03800	HPG27_RS02865	HPB8_RS03745	132.0	25.43	5.0
HPP12_RS03065	HP0590	HELPY_RS03795	HPG27_RS02870	HPB8_RS03750	132.0	25.43	5.0
HPP12_RS03070	HP0591	HELPY_RS03790	HPG27_RS02875	HPB8_RS03755	133.0	25.21	5.0
HPP12_RS03085	HP0594	HELPY_RS03775	HPG27_RS02890	HPB8_RS03765	134.0	23.95	5.0
HPP12_RS03090	HP0595	HELPY_RS03770	HPG27_RS02895	HPB8_RS03770	134.0	23.95	5.0
HPP12_RS03095	HP0596	HELPY_RS03765	HPG27_RS02900	HPB8_RS03775	134.0	23.53	5.0
HPP12_RS03100	HP0597	HELPY_RS03760	HPG27_RS02905	HPB8_RS03780	134.0	23.53	5.0
HPP12_RS03105	HP0598	HELPY_RS03755	HPG27_RS02910	HPB8_RS03785	135.0	22.86	5.0
HPP12_RS03110	HP0599	HELPY_RS03750	HPG27_RS02915	HPB8_RS03790	135.0	22.6	5.0
HPP12_RS03120	HP0601	HELPY_RS03740	HPG27_RS02925	HPB8_RS03800	136.0	21.78	5.0
HPP12_RS03125	HP0602	HELPY_RS03735	HPG27_RS02930	HPB8_RS03805	136.0	21.51	5.0
HPP12_RS03130	HP0603	HELPY_RS03730	HPG27_RS02935	HPB8_RS03810	136.0	21.36	5.0
HPP12_RS03135	HP0604	HELPY_RS03725	HPG27_RS02940	HPB8_RS03815	136.0	21.36	5.0
HPP12_RS03140	HP0605	HELPY_RS03720	HPG27_RS02945	HPB8_RS03820	137.0	20.85	5.0
HPP12_RS03145	HP0606	HELPY_RS03715	HPG27_RS02950	HPB8_RS03825	137.0	20.43	5.0
HPP12_RS03150	HP0607	HELPY_RS03710	HPG27_RS02955	HPB8_RS03830	137.0	20.43	5.0
HPP12_RS03155	HP0608	HELPY_RS03705	HPG27_RS02960	HPB8_RS03835	138.0	19.6	5.0
HPP12_RS03185	HP0614	HELPY_RS03680	HPG27_RS02985	HPB8_RS03855	140.0	17.02	5.0
HPP12_RS03190	HP0615	HELPY_RS03675	HPG27_RS02990	HPB8_RS03860	141.0	16.53	5.0
HPP12_RS03195	HP0616	HELPY_RS03670	HPG27_RS02995	HPB8_RS03865	141.0	16.09	5.0
HPP12_RS03200	HP0617	HELPY_RS03665	HPG27_RS03000	HPB8_RS03870	141.0	16.09	5.0
HPP12_RS03205	HP0618	HELPY_RS03660	HPG27_RS03005	HPB8_RS03875	142.0	15.7	5.0
HPP12_RS03215	HP0620	HELPY_RS03645	HPG27_RS03020	HPB8_RS03890	142.0	15.01	5.0
HPP12_RS03240	HP0621	HELPY_RS03640	HPG27_RS03025	HPB8_RS03895	142.0	14.87	5.0
HPP12_RS03245	HP0622	HELPY_RS03635	HPG27_RS03030	HPB8_RS03900	143.0	14.34	5.0
HPP12_RS03250	HP0623	HELPY_RS03630	HPG27_RS03035	HPB8_RS03905	143.0	13.95	5.0
HPP12_RS03255	HP0624	HELPY_RS03625	HPG27_RS03040	HPB8_RS03910	143.0	13.79	5.0
HPP12_RS03260	HP0625	HELPY_RS03620	HPG27_RS03045	HPB8_RS03915	143.0	13.79	5.0
HPP12_RS03265	HP0626	HELPY_RS03615	HPG27_RS03050	HPB8_RS03920	144.0	13.0	5.0
HPP12_RS03275	HP0629	HELPY_RS03600	HPG27_RS03060	HPB8_RS03930	144.0	12.72	5.0
HPP12_RS03280	HP0630	HELPY_RS03590	HPG27_RS03065	HPB8_RS03935	145.0	12.18	5.0
HPP12_RS03285	HP0631	HELPY_RS03585	HPG27_RS03070	HPB8_RS03940	145.0	11.92	5.0
HPP12_RS03290	HP0632	HELPY_RS03580	HPG27_RS03075	HPB8_RS03945	145.0	11.65	5.0
HPP12_RS03295	HP0633	HELPY_RS03575	HPG27_RS03080	HPB8_RS03950	145.0	11.65	5.0
HPP12_RS03300	HP0634	HELPY_RS03570	HPG27_RS03085	HPB8_RS03955	146.0	11.1	5.0
HPP12_RS03305	HP0635	HELPY_RS03565	HPG27_RS03090	HPB8_RS03960	146.0	10.85	5.0
HPP12_RS03315	HP0637	HELPY_RS03555	HPG27_RS03100	HPB8_RS03970	146.0	10.59	5.0
HPP12_RS03320	HP0638	HELPY_RS03550	HPG27_RS03105	HPB8_RS03975	146.0	10.59	5.0
HPP12_RS03325	HP0639	HELPY_RS03545	HPG27_RS03110	HPB8_RS03980	146.0	10.59	5.0
HPP12_RS03330	HP0640	HELPY_RS03540	HPG27_RS03115	HPB8_RS03985	147.0	9.79	5.0
